COURSEID,Type,Title,URL,A_Level_Grade,A_Level_Text,IB_Points,IB_Text,Core_Modules_Y1
geography-ba,BA,Geography,https://www.lboro.ac.uk/study/undergraduate/courses/geography-ba/,AAB,AAB,35,"35 (6,6,5 HL)","['Academic and Professional Skills for Geography', 'Economic and Political Geography', 'Practising Geography', 'Cartography, Digital Mapping & GIS', 'Earth System Science', 'Quantitative Methods in Geography', 'Global Environmental Change at Local Scale', 'Social and Cultural Geography', 'Environmental Hazards']"
geography-bsc,BSc,Geography,https://www.lboro.ac.uk/study/undergraduate/courses/geography-bsc/,AAB,AAB,35,"35 (6,6,5 HL)","['Academic and Professional Skills for Geography', 'Economic and Political Geography', 'Practising Geography', 'Cartography, Digital Mapping & GIS', 'Earth System Science', 'Quantitative Methods in Geography', 'Global Environmental Change at Local Scale', 'Social and Cultural Geography', 'Environmental Hazards']"
geography-with-economics,BSc,Geography with Economics,https://www.lboro.ac.uk/study/undergraduate/courses/geography-with-economics/,AAB,AAB,35,"35 (6,6,5 HL)","['Introduction to Macroeconomics', 'Introduction to Microeconomics', 'Academic and Professional Skills for Geography', 'Economic and Political Geography', 'Practising Geography', 'Cartography, Digital Mapping & GIS', 'Earth System Science', 'Quantitative Methods in Geography', 'Social and Cultural Geography', 'Environmental Hazards']"
graphic-design,BA,Graphic Design,https://www.lboro.ac.uk/study/undergraduate/courses/graphic-design/,ABB,"ABB from 3 A levels 
 All short listed candidates are required to submit a portfolio and design task electronically",34,"34 (6,5,5 HL)","['Creative Production', 'Graphic Design Context', 'Type and Language', 'Visual Thinking', 'Writing for Practice', 'Visual Practices', 'Branding and Strategy', 'Applied Storytelling for Sustainability']"
history-and-international-relations,BA,History and International Relations,https://www.lboro.ac.uk/study/undergraduate/courses/history-and-international-relations/,ABB,ABB,34,"34 (6,5,5 HL)","['Academic Foundations in International Relations, Politics and History', 'The Atlantic World: The Americas, Europe and Africa since the 15th Century', 'Power, Politics & Ideology in Modern Europe (10 credit)', 'International Political Theory (20 credits)', 'What is History?', 'Politics and Government (10 credits)']"
history-and-politics,BA,History and Politics,https://www.lboro.ac.uk/study/undergraduate/courses/history-and-politics/,ABB,ABB,34,"34 (6,5,5 HL)","['Academic Foundations in International Relations, Politics and History', 'The Contemporary World Arena (10 credits)', 'The Atlantic World: The Americas, Europe and Africa since the 15th Century', 'International Political Theory', 'What is History?', 'Politics and Government (20 credits)']"
history,BA,History,https://www.lboro.ac.uk/study/undergraduate/courses/history/,ABB,ABB,34,"34 (6,5,5 HL)","['Academic Foundations in International Relations, Politics and History', 'The Atlantic World: The Americas, Europe and Africa since the 15th Century', 'Power, Politics & Ideology in Modern Europe (20 credit)', 'Art and visual culture since 1850', 'What is History? (20 credits)', 'The Making and Unmaking of the World Order (20 credit)']"
human-biology,BSc,Human Biology,https://www.lboro.ac.uk/study/undergraduate/courses/human-biology/,AAB,"AAB including Biology or Human Biology 
 Chemistry, Physics, Geography or Environmental Science may be considered on a case by case basis if A level Biology not previously studied.",35,"35 (6,6,5 HL) with 5 in Biology at HL","['Biochemistry and Cell Biology', 'Genetics and Molecular Biology', 'Human Evolution and Adaptation', 'Laboratory Skills 1', 'Anatomy and Physiology', 'Academic Skills and Data Description']"
industrial-design,BA,Industrial Design,https://www.lboro.ac.uk/study/undergraduate/courses/industrial-design/,ABB,"ABB 
 All short-listed candidates are required to submit a design task and portfolio electronically.",34,"34 (6,5,5 HL)","['Prototyping for Design', 'Design at SDCA', 'Design Contexts', 'Understanding People', 'Prototyping for Industrial Design', 'Signs and Meanings', 'Interactions and Experiences', 'Experiential Futures']"
information-technology-management-for-business-bsc,BSc,Information Technology Management for Business (ITMB),https://www.lboro.ac.uk/study/undergraduate/courses/information-technology-management-for-business-bsc/,AAB,AAB,35,"35 (6,6,5 HL)","['Principles of Finance', 'Organisational Behaviour', 'Fundamentals of Software Engineering', 'Introduction to Accounting', 'Management of Human Resources', 'Foundations of Artificial Intelligence']"
information-technology-management-for-business,MSci,Information Technology Management for Business,https://www.lboro.ac.uk/study/undergraduate/courses/information-technology-management-for-business/,AAA,AAA,37,"37 (6,6,6 HL)","['Principles of Finance', 'Organisational Behaviour', 'Fundamentals of Software Engineering', 'Introduction to Accounting', 'Management of Human Resources', 'Foundations of Artificial Intelligence']"
international-business,BSc,International Business,https://www.lboro.ac.uk/study/undergraduate/courses/international-business/,AAB,"AAB 
 No specific subject requirements but we do have a list of preferred subjects (see below). 
 In some circumstances we may ask applicants to achieve specific grades in certain subjects.",35,"35 (6,6,5 HL)","['Quantitative Business Skills A', 'Quantitative Business Skills B', 'Responsible Management Practice', 'Business in the Digital Age', 'Management and International Business Fundamentals', 'Principles of Marketing', 'Introduction to Accounting', 'Ethics and Professional Skills', 'International Business and Culture in Different Contexts']"
international-relations,BA,International Relations,https://www.lboro.ac.uk/study/undergraduate/courses/international-relations/,ABB,ABB,34,"34 (6,5,5 HL)","['Academic Foundations in International Relations, Politics and History', 'The Contemporary World Arena (20 credits)', 'Power, Politics & Ideology in Modern Europe (20 credit)', 'International Political Theory (20 credits)', 'The Making and Unmaking of the World Order (20 credit)', 'Politics and Government (10 credits)']"
law-llb,LLB,Law,https://www.lboro.ac.uk/study/undergraduate/courses/law-llb/,AAB,AAB,35,"35 (6,6,5 HL)",[]
management,BSc,Management,https://www.lboro.ac.uk/study/undergraduate/courses/management/,AAB,"AAB 
 No specific subject requirements but we do have a list of preferred subjects (see below). 
 In some circumstances we may ask applicants to achieve specific grades in certain subjects.",35,"35 (6,6,5 HL)","['Quantitative Business Skills A', 'Quantitative Business Skills B', 'Responsible Management Practice', 'Business in the Digital Age', 'Management and International Business Fundamentals', 'Principles of Marketing', 'Introduction to Accounting', 'Organisational Behaviour', 'Ethics and Professional Skills']"
marketing,BSc,Marketing,https://www.lboro.ac.uk/study/undergraduate/courses/marketing/,AAB,"AAB 
 No specific subject requirements but we do have a list of preferred subjects (see below). 
 In some circumstances we may ask applicants to achieve specific grades in certain subjects.",35,"35 (6,6,5 HL)","['Quantitative Business Skills A', 'Quantitative Business Skills B', 'Responsible Management Practice', 'Business in the Digital Age', 'Management and International Business Fundamentals', 'Principles of Marketing', 'Introduction to Accounting', 'Applications of Marketing Fundamentals', 'Ethics and Professional Skills']"
materials-science-engineering-beng,BEng,Materials Science and Engineering,https://www.lboro.ac.uk/study/undergraduate/courses/materials-science-engineering-beng/,ABB,"ABB including two from Mathematics, Further Mathematics, Physics, Chemistry, Biology and Design Technology",34,"34 (6,5,5 HL) including any two of Mathematics, Further Mathematics, Physics, Chemistry, Biology and Design Technology at HL","['Engineering Principles and Design', 'Thermofluids', 'Mathematics for Materials', 'Experimentation and Practical Skills', 'Introductory Materials Science', 'Computer Aided Engineering']"
materials-science-engineering-meng,MEng,Materials Science and Engineering,https://www.lboro.ac.uk/study/undergraduate/courses/materials-science-engineering-meng/,AAA,"AAA including two from Mathematics, Further Mathematics, Physics, Chemistry, Biology and Design Technology",37,"37 (6,6,6 HL) including any two of Mathematics, Further Mathematics, Physics, Chemistry, Biology and Design Technology at HL","['Engineering Principles and Design', 'Mathematics for Materials', 'Thermofluids', 'Experimentation and Practical Skills', 'Introductory Materials Science', 'Computer Aided Engineering']"
mathematics-accounting-and-financial-management,BSc,Mathematics and Accounting and Financial Management,https://www.lboro.ac.uk/study/undergraduate/courses/mathematics-accounting-and-financial-management/,AAA,"AAA including Maths or A*AB including A* in Maths 
 We recognise the benefit of STEP/MAT/TMUA in demonstrating your aptitude to study Mathematics at a higher level. While we do not generally include them as part of our offer conditions, they may be used to further consider an application upon receipt of final examination results.",37,"37 (6,6,6 HL) including HL Maths or 37 (7,6,5 HL) including 7 in HL Maths","['Financial Accounting Fundamentals', 'Economics for Financial Studies', 'Introduction to Law', 'Linear Algebra 1', 'Mathematical Methods 1', 'Introductory Probability and Statistics', 'Principles of Finance', 'Linear Algebra 2', 'Mathematical Methods 2', 'Mechanics']"
mathematics-and-physics-bsc,BSc,Mathematics and Physics,https://www.lboro.ac.uk/study/undergraduate/courses/mathematics-and-physics-bsc/,AAB,"AAB including Maths and Physics 
 Applicants without A level Physics may be considered on a case by case basis",35,"35 (6,6,5 HL) including Maths and Physics at HL","['Mathematics for Physics I', 'Fundamentals of Laboratory Physics', 'Computational Physics: Modelling, Simulation and Good Practice', 'Analysis 1', 'Core Physics I: Foundations of Physics', 'Analysis 2', 'Core Physics II: Classical Physics of Particles and Fields']"
mathematics-and-physics-mphys,MPhys,Mathematics and Physics,https://www.lboro.ac.uk/study/undergraduate/courses/mathematics-and-physics-mphys/,AAA,"AAA including Maths and Physics 
 Applicants without A level Physics may be considered on a case by case basis",37,"37 (6,6,6 HL) including Maths and Physics at HL","['Mathematics for Physics I', 'Fundamentals of Laboratory Physics', 'Computational Physics: Modelling, Simulation and Good Practice', 'Analysis 1', 'Core Physics I: Foundations of Physics', 'Analysis 2', 'Core Physics II: Classical Physics of Particles and Fields']"
mathematics-and-sport-science,BSc,Mathematics and Sport Science,https://www.lboro.ac.uk/study/undergraduate/courses/mathematics-and-sport-science/,AAA,"AAA including Maths or A*AB including A* in Maths 
 We recognise the benefit of STEP/MAT/TMUA in demonstrating your aptitude to study Mathematics at a higher level. While we do not generally include them as part of our offer conditions, they may be used to further consider an application upon receipt of final examination results.",37,"37 (6,6,6 HL) including HL Maths or 37 (7,6,5 HL) including 7 in HL Maths","['Anatomy and Physiology', 'Introduction to Sport Biomechanics and Kinesiology', 'Linear Algebra 1', 'Mathematical Methods 1', 'Introductory Probability and Statistics', 'Linear Algebra 2', 'Mathematical Methods 2', 'Mechanics', 'Foundations of Sport and Exercise Psychology']"
mathematics-bsc,BSc,Mathematics,https://www.lboro.ac.uk/study/undergraduate/courses/mathematics-bsc/,AAA,"AAA including Maths or A*AB including A* in Maths 
 We recognise the benefit of STEP/MAT/TMUA in demonstrating your aptitude to study Mathematics at a higher level. While we do not generally include them as part of our offer conditions, they may be used to further consider an application upon receipt of final examination results.",37,"37 (6,6,6 HL) including HL Maths or 37 (7,6,5 HL) including 7 in HL Maths","['Computing and Numerical Methods', 'Analysis 1', 'Linear Algebra 1', 'Mathematical Thinking', 'Mathematical Methods 1', 'Introductory Probability and Statistics', 'Analysis 2', 'Linear Algebra 2', 'Geometry and Groups', 'Mathematical Methods 2', 'Mechanics']"
mathematics,MMath,Mathematics,https://www.lboro.ac.uk/study/undergraduate/courses/mathematics/,AAA,"AAA including Maths or A*AB including A* in Maths 
 We recognise the benefit of STEP/MAT/TMUA in demonstrating your aptitude to study Mathematics at a higher level. While we do not generally include them as part of our offer conditions, they may be used to further consider an application upon receipt of final examination results.",37,"37 (6,6,6 HL) including HL Maths or 37 (7,6,5 HL) including 7 in HL Maths","['Computing and Numerical Methods', 'Analysis 1', 'Linear Algebra 1', 'Mathematical Thinking', 'Mathematical Methods 1', 'Introductory Probability and Statistics', 'Analysis 2', 'Linear Algebra 2', 'Geometry and Groups', 'Mathematical Methods 2', 'Mechanics']"
mathematics-with-economics,BSc,Mathematics with Economics,https://www.lboro.ac.uk/study/undergraduate/courses/mathematics-with-economics/,AAA,"AAA including Maths or A*AB including A* in Maths 
 
 We recognise the benefit of STEP/MAT/TMUA in demonstrating your aptitude to study Mathematics at a higher level. While we do not generally include them as part of our offer conditions, they may be used to further consider an application upon receipt of final examination results.",37,"37 (6,6,6 HL) including HL Maths or 37 (7,6,5 HL) including 7 in HL Maths","['Principles of Macroeconomics', 'Principles of Microeconomics', 'Analysis 1', 'Linear Algebra 1', 'Mathematical Methods 1', 'Introductory Probability and Statistics', 'Analysis 2', 'Linear Algebra 2', 'Mathematical Methods 2', 'Mechanics']"
mathematics-with-statistics,BSc,Mathematics with Statistics,https://www.lboro.ac.uk/study/undergraduate/courses/mathematics-with-statistics/,AAA,"AAA including Maths or A*AB including A* in Maths 
 We recognise the benefit of STEP/MAT/TMUA in demonstrating your aptitude to study Mathematics at a higher level. While we do not generally include them as part of our offer conditions, they may be used to further consider an application upon receipt of final examination results.",37,"37 (6,6,6 HL) including HL Maths or 37 (7,6,5 HL) including 7 in HL Maths","['Computing and Numerical Methods', 'Analysis 1', 'Linear Algebra 1', 'Mathematical Thinking', 'Mathematical Methods 1', 'Introductory Probability and Statistics', 'Analysis 2', 'Linear Algebra 2', 'Geometry and Groups', 'Mathematical Methods 2', 'Mechanics']"
mechanical-engineering-beng,BEng,Mechanical Engineering,https://www.lboro.ac.uk/study/undergraduate/courses/mechanical-engineering-beng/,AAB,AAB including Maths and Physics,35,"35 (6,6,5 HL) including Maths and Physics at HL","['Mathematics for Mechanical Engineering', 'Applied Engineering', 'Mechanics', 'Mechanical Design', 'Materials and Manufacturing Processes', 'Thermodynamics and Fluid Mechanics']"
mechanical-engineering-meng,MEng,Mechanical Engineering,https://www.lboro.ac.uk/study/undergraduate/courses/mechanical-engineering-meng/,A*AA,A*AA including Maths and Physics with A* in Maths or Physics,38,"38 (7,6,6 HL) including Maths and Physics at HL","['Mathematics for Mechanical Engineering', 'Statics and Dynamics', 'Engineering Principles and Professional Skills', 'Materials and Manufacturing Processes', 'Thermodynamics and Fluid Mechanics', 'Electronic Systems', 'Mechanics']"
media-and-communication-bsc,BSc,Media and Communication,https://www.lboro.ac.uk/study/undergraduate/courses/media-and-communication-bsc/,ABB,ABB,34,"34 (6,5,5 HL)","['Language in Society', 'Introduction to Communication and Media Studies: Contemporary Trends and Issues', 'Foundations in Media and Communication Studies', 'Introduction to Qualitative Research Methods', 'Introduction To Communication and Media Studies: Theories, Approaches and Practices', 'Media Landscapes', 'Introduction to Quantitative Research Methods']"
medicinal-pharmaceutical-chemistry-bsc,BSc,Medicinal and Pharmaceutical Chemistry,https://www.lboro.ac.uk/study/undergraduate/courses/medicinal-pharmaceutical-chemistry-bsc/,ABB,ABB including Chemistry and preferably one other Science or Maths,34,"34 (6,5,5 HL) including HL Chemistry and preferably one other science or Maths at HL","['Laboratory and Computer Skills 1', 'Fundamentals of Physical Chemistry', 'Fundamental Synthetic Chemistry', 'Spectroscopy and Analysis 1', 'Energetics and Equilibria 1', 'Structure and Reactivity 1']"
medicinal-pharmaceutical-chemistry-mchem,MChem,Medicinal and Pharmaceutical Chemistry,https://www.lboro.ac.uk/study/undergraduate/courses/medicinal-pharmaceutical-chemistry-mchem/,AAB,AAB to include Chemistry and preferably one other Science or Maths,35,"35 (6,6,5 HL) including HL Chemistry and preferably one other science or Maths at HL","['Laboratory and Computer Skills 1', 'Fundamentals of Physical Chemistry', 'Fundamental Synthetic Chemistry', 'Spectroscopy and Analysis 1', 'Energetics and Equilibria 1', 'Structure and Reactivity 1']"
natural-sciences-bsc,BSc,Natural Sciences,https://www.lboro.ac.uk/study/undergraduate/courses/natural-sciences-bsc/,AAA,"AAA including two or three sciences dependent on the chosen pathway. 
 Science subjects: Biology, Chemistry, Maths, Physics.",37,"37 (6,6,6 HL) including two or three sciences at HL. Dependent on the chosen pathway.",[]
natural-sciences-msci,MSci,Natural Sciences,https://www.lboro.ac.uk/study/undergraduate/courses/natural-sciences-msci/,A*AA,"A*AA including two or three sciences dependent on the chosen pathway. 
 Science subjects: Biology, Chemistry, Maths, Physics.",38,"38 (7,6,6 HL) including two or three sciences at HL. Dependent on the chosen pathway.",[]
physics-bsc,BSc,Physics,https://www.lboro.ac.uk/study/undergraduate/courses/physics-bsc/,AAB,"AAB including Maths and Physics 
 Applicants without A level Physics may be considered on a case by case basis",35,"35 (6,6,5 HL) including Maths and Physics at HL","['Mathematics for Physics I', 'Fundamentals of Laboratory Physics', 'Computational Physics: Modelling, Simulation and Good Practice', 'Core Physics I: Foundations of Physics', 'Methods, Philosophy and Frontiers of Physical Science', 'Core Physics II: Classical Physics of Particles and Fields', 'Applications of the scientific method']"
physics-mphys,MPhys,Physics,https://www.lboro.ac.uk/study/undergraduate/courses/physics-mphys/,AAA,"AAA including Maths and Physics 
 Applicants without A level Physics may be considered on a case by case basis",37,"37 (6,6,6 HL) including Maths and Physics at HL","['Mathematics for Physics I', 'Fundamentals of Laboratory Physics', 'Computational Physics: Modelling, Simulation and Good Practice', 'Core Physics I: Foundations of Physics', 'Methods, Philosophy and Frontiers of Physical Science', 'Core Physics II: Classical Physics of Particles and Fields', 'Applications of the scientific method']"
physics-with-computing-bsc,BSc,Physics with Computing,https://www.lboro.ac.uk/study/undergraduate/courses/physics-with-computing-bsc/,AAB,"AAB including Maths and Physics 
 Applicants without A level Physics may be considered on a case by case basis",35,"35 (6,6,5 HL) including Maths and Physics at HL","['Mathematics for Physics I', 'Fundamentals of Laboratory Physics', 'Computational Physics: Modelling, Simulation and Good Practice', 'Core Physics I: Foundations of Physics', 'Methods, Philosophy and Frontiers of Physical Science', 'Core Physics II: Classical Physics of Particles and Fields', 'Applications of the scientific method']"
physics-with-computing-mphys,MPhys,Physics with Computing,https://www.lboro.ac.uk/study/undergraduate/courses/physics-with-computing-mphys/,AAA,"AAA including Maths and Physics 
 Applicants without A level Physics may be considered on a case by case basis",37,"37 (6,6,6 HL) including Maths and Physics at HL","['Mathematics for Physics I', 'Fundamentals of Laboratory Physics', 'Computational Physics: Modelling, Simulation and Good Practice', 'Core Physics I: Foundations of Physics', 'Methods, Philosophy and Frontiers of Physical Science', 'Core Physics II: Classical Physics of Particles and Fields', 'Applications of the scientific method']"
physics-with-theoretical-physics-bsc,BSc,Physics with Theoretical Physics,https://www.lboro.ac.uk/study/undergraduate/courses/physics-with-theoretical-physics-bsc/,AAB,"AAB including Maths and Physics 
 Applicants without A level Physics may be considered on a case by case basis",35,"35 (6,6,5 HL) including Maths and Physics at HL","['Mathematics for Physics I', 'Fundamentals of Laboratory Physics', 'Computational Physics: Modelling, Simulation and Good Practice', 'Core Physics I: Foundations of Physics', 'Methods, Philosophy and Frontiers of Physical Science', 'Core Physics II: Classical Physics of Particles and Fields', 'Applications of the scientific method']"
physics-with-theoretical-physics-mphys,MPhys,Physics with Theoretical Physics,https://www.lboro.ac.uk/study/undergraduate/courses/physics-with-theoretical-physics-mphys/,AAA,"AAA including Maths and Physics 
 Applicants without A level Physics may be considered on a case by case basis",37,"37 (6,6,6 HL) including Maths and Physics at HL","['Mathematics for Physics I', 'Fundamentals of Laboratory Physics', 'Computational Physics: Modelling, Simulation and Good Practice', 'Core Physics I: Foundations of Physics', 'Methods, Philosophy and Frontiers of Physical Science', 'Core Physics II: Classical Physics of Particles and Fields', 'Applications of the scientific method']"
politics-and-international-relations,BA,Politics and International Relations,https://www.lboro.ac.uk/study/undergraduate/courses/politics-and-international-relations/,ABB,ABB,34,"34 (6,5,5 HL)","['Academic Foundations in International Relations, Politics and History', 'The Contemporary World Arena (20 credits)', 'Power, Politics & Ideology in Modern Europe (20 credit)', 'International Political Theory (20 credits)', 'The Making and Unmaking of the World Order (10 credit)', 'Politics and Government (20 credits)']"
politics,BA,Politics,https://www.lboro.ac.uk/study/undergraduate/courses/politics/,ABB,ABB,34,"34 (6,5,5 HL)","['Academic Foundations in International Relations, Politics and History', 'The Contemporary World Arena (20 credits)', 'Power, Politics & Ideology in Modern Europe (20 credit)', 'International Political Theory (20 credits)', 'The Making and Unmaking of the World Order (10 credit)', 'Politics and Government (20 credits)']"
politics-philosophy-and-economics,BA,"Politics, Philosophy and Economics",https://www.lboro.ac.uk/study/undergraduate/courses/politics-philosophy-and-economics/,AAB,AAB,35,"35 (6,6,5 HL)","['Introduction to Macroeconomics', 'Introduction to Microeconomics', 'Academic Foundations in International Relations, Politics and History', 'Power, Politics & Ideology in Modern Europe (10 credit)', 'Introduction to Philosophy', 'International Political Theory (20 credits)', 'Politics and Government (20 credits)']"
product-design-and-technology,BSc,Product Design and Technology,https://www.lboro.ac.uk/study/undergraduate/courses/product-design-and-technology/,ABB,"ABB including one from Physics, Maths, Further Maths, Electronics or Computer Science. 
 All short-listed candidates are required to submit a design task and portfolio electronically.",34,"34 (6,5,5 HL) including one from HL Physics, Maths or Computer Science.","['Prototyping for Manufacture', 'Design at SDCA', 'Understanding People', 'Mechanical Principles for Product Design', 'Introduction to Digital Fabrication for Design', 'Electronics, Programming & Interfacing', 'Augmented Reality Prototyping']"
product-design-engineering-beng,BEng,Product Design Engineering,https://www.lboro.ac.uk/study/undergraduate/courses/product-design-engineering-beng/,ABB,ABB including Maths and either Design and Technology or Physics,34,"34 (6,5,5 HL) including HL Maths and either Design Technology or Physics at HL","['Mathematics for Product Design Engineering', 'Applied Engineering', 'Engineering Science', 'Product Design Methods', 'Integrated Product Design', 'Materials and Manufacturing Processes']"
product-design-engineering-meng,MEng,Product Design Engineering,https://www.lboro.ac.uk/study/undergraduate/courses/product-design-engineering-meng/,AAA,AAA including Maths and either Design and Technology or Physics,37,"37 (6,6,6 HL) including HL Maths and either Design Technology or Physics at HL","['Mathematics for Product Design Engineering', 'Applied Engineering', 'Engineering Science', 'Product Design Methods', 'Integrated Product Design', 'Materials and Manufacturing Processes']"
psychology,BSc,Psychology,https://www.lboro.ac.uk/study/undergraduate/courses/psychology/,AAB,AAB,35,"35 (6,6,5 HL)","['Learning to be a Psychologist', 'Research Skills A', 'Psychology of the Early Years', 'Cognitive Research', 'Understanding the Brain']"
psychology-sport-exercise,BSc,Psychology of Sport and Exercise,https://www.lboro.ac.uk/study/undergraduate/courses/psychology-sport-exercise/,AAB,AAB,35,"35 (6,6,5 HL)","['Learning to be a Psychologist', 'Research Skills A', 'Psychology of the Early Years', 'Foundations of Sport and Exercise Psychology', 'Cognitive Research', 'Understanding the Brain']"
psychology-with-criminology,BSc,Psychology with Criminology,https://www.lboro.ac.uk/study/undergraduate/courses/psychology-with-criminology/,AAB,AAB,35,"35 (6,6,5 HL)","['Learning to be a Psychologist', 'Research Skills A', 'Psychology of the Early Years', 'Cognitive Research', 'Understanding the Brain', 'An Introduction to the Criminal Justice System']"
robotics-mechatronics-control-engineering-beng,BEng,"Robotics, Mechatronics and Control Engineering",https://www.lboro.ac.uk/study/undergraduate/courses/robotics-mechatronics-control-engineering-beng/,ABB,"ABB including Maths and either Computing, Computer Science, Electronics, Further Maths or Physics",34,"34 (6,5,5 HL) including HL Maths and either Computer Science or Physics at HL","['Core Mathematics', 'Circuit Analysis', 'Programming and Software Engineering', 'Digital Systems', 'Dynamic Systems Analysis', 'Applied Engineering']"
robotics-mechatronics-control-engineering-meng,MEng,"Robotics, Mechatronics and Control Engineering",https://www.lboro.ac.uk/study/undergraduate/courses/robotics-mechatronics-control-engineering-meng/,AAA,"AAA including Maths and either Computing, Computer Science, Electronics, Further Maths or Physics",37,"37 (6,6,6 HL) including HL Maths and either Computer Science or Physics at HL","['Core Mathematics', 'Circuit Analysis', 'Programming and Software Engineering', 'Digital Systems', 'Dynamic Systems Analysis', 'Applied Engineering']"
sociology,BSc,Sociology,https://www.lboro.ac.uk/study/undergraduate/courses/sociology/,ABB,ABB,34,"34 (6,5,5 HL)","['Identities and Inequalities', 'Sociological Imagination', 'Introduction to Qualitative Research Methods', 'How to Win at Criminology and Sociology', 'Self and Identity (10 credits)', 'Global, Social and Cultural Change', 'Introduction to Quantitative Research Methods', 'Public Sociology']"
sport-and-exercise-science,BSc,Sport and Exercise Science,https://www.lboro.ac.uk/study/undergraduate/courses/sport-and-exercise-science/,A*AA,"A*AA - AAA including  two  of the following subjects: Biology, Human Biology, Maths, Physics, Chemistry, Psychology, Physical Education.",38,"38 - 37 (7,6,6 - 6,6,6 HL) to include  two  of the following subjects at Higher Level: Biology, Maths, Physics, Chemistry, Psychology, Sport, Exercise and Health Science","['Anatomy and Physiology', 'Academic Skills and Data Description', 'Integrated, Professional and Applied Skills in Sport and Exercise Science', 'Introduction to Sport Biomechanics and Kinesiology', 'Biochemistry and Cell Biology', 'Foundations of Sport and Exercise Psychology']"
sport-management,BSc,Sport Management,https://www.lboro.ac.uk/study/undergraduate/courses/sport-management/,AAB,"AAB 
 No specific subject requirements. 
 In some circumstances we may ask applicants to achieve specific grades in certain subjects.",35,"35 (6,6,5 HL)","['Academic, Research and Vocational Skills', 'Introduction to Sport Management', 'Principles of Marketing for Sport and Leisure', 'Financial Accounting for Sport', 'The Leisure Market', 'Behaviour in Sporting Organisations', 'Critical Perspectives in Sport Management']"
sport-coaching-and-physical-education,BSc,"Sport Science, Coaching and Physical Education",https://www.lboro.ac.uk/study/undergraduate/courses/sport-coaching-and-physical-education/,AAB,"AAB including  at least one  of the following subjects: Biology, Human Biology, Maths, Physics, Chemistry, Psychology, Religious Studies, Sociology, History, Geography, Physical Education and English Literature or English Language.",35,"35 (6,6,5 HL) to include  at least one  of the following subjects at Higher Level: Biology, Maths, Physics, Chemistry, Psychology, Social and Cultural Anthropology, History, Geography, Sport, Exercise and Health Science and English Literature/Language A","['Academic, Research and Vocational Skills', 'Sport and the Social Sciences', 'Kinesiology, Growth and Development', 'Fundamentals of Sport and Exercise Science', 'Fundamentals of Sport Coaching', 'Fundamentals of Teaching Physical Education']"
sports-technology-beng,BEng,Sports Technology,https://www.lboro.ac.uk/study/undergraduate/courses/sports-technology-beng/,ABB,ABB or AAC,34,"34 (6,5,5 HL)","['Engineering Mathematics', 'Introduction to Sport Biomechanics and Kinesiology', 'Applied Engineering', 'Product Design Methods', 'Materials and Manufacturing Processes', 'Measurement and Mechanical Design for Sport']"
sports-technology-meng,MEng,Sports Technology,https://www.lboro.ac.uk/study/undergraduate/courses/sports-technology-meng/,AAA,AAA,37,"37 (6,6,6 HL)","['Engineering Mathematics', 'Introduction to Sport Biomechanics and Kinesiology', 'Applied Engineering', 'Product Design Methods', 'Materials and Manufacturing Processes', 'Measurement and Mechanical Design for Sport']"
textile-design,BA,Textile Design,https://www.lboro.ac.uk/study/undergraduate/courses/textile-design/,BBB,"BBB/ABC from 3 A levels 
 All short listed candidates are required to submit a portfolio",32,"32 (5,5,5 HL)","['Creative Production', 'Historical and Cultural Design Perspectives', 'Visual Research for Textile Design', 'Textile Materials and Processes', 'Writing for Practice', 'Trends and Techniques: Context and Application', 'Textiles Futures', 'Applied Storytelling for Sustainability']"
urban-planning-bsc,BSc,Urban Planning,https://www.lboro.ac.uk/study/undergraduate/courses/urban-planning-bsc/,ABB,ABB,34,"34 (6,5,5 HL)","['Professional Skills', 'Principles of Law and Economics for the Built Environment', 'Professional Practice in Urban Planning', 'Design Skills and Urban Data Analytics', 'Contemporary Planning', 'Principles of Urban Planning']"
urban-planning-mplan,MPlan,Urban Planning,https://www.lboro.ac.uk/study/undergraduate/courses/urban-planning-mplan/,AAB,AAB,35,"35 (6,6,5 HL)","['Professional Skills', 'Principles of Law and Economics for the Built Environment', 'Professional Practice in Urban Planning', 'Design Skills and Urban Data Analytics', 'Contemporary Planning', 'Principles of Urban Planning']"
